ID,NAME,NAME_allportdata,ABBREV,COUNTRY_CODE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,LATDD,LONGDD,MIN_T,MAX_T,RANGE_T,YR_MEAN_T,Salinity,Temp_Src,Sal_Src,MEOW_region,MEOW_province,MEOW_realm,FEOW_region,MEOW_Neighbors,FEOW_Neighbors,,,,,,
2629,Mystery Is.,NA,NA,VUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2630,Kesennuma,Kesennuma,JPN,JPN,38.8667,141.6,38.86667,141.6,3.2,24.61,21.41,12.57,33.69,Air,WOA,Northeastern Honshu,Cold Temperate Northwest Pacific,Temperate Northern Pacific,NA,Central Kuroshio Current|Oyashio Current|Sea of Japan/East Sea|Sea of Okhotsk|NA|NA|NA|NA|NA,NA,,,,,,
2631,Port of Spain,Port of Spain,TTO,TTO,10.6525,-61.517,10.65,-61.51667,26.08,27.59,1.51,26.85,29.4,Air,WOA,Guianan,North Brazil Shelf,Tropical Atlantic,South America Caribbean Drainages - Trinidad,Amazonia|Eastern Caribbean|Southern Caribbean|NA|NA|NA|NA|NA|NA,Magdalena - Sinu|Maracaibo|Orinoco Delta & Coastal Drainages|Orinoco Piedmont|Orinoco Llanos|Orinoco High Andes|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2632,St. Clair River,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2633,Port Marigot(LCA),Port Marigot(LCA),LCA,LCA,13.9667,-61.0333,13.96667,-61.03333,26.41,28.72,2.3,27.62,35.13,WOA,WOA,Eastern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Windward & Leeward Islands,Bahamian|Guianan|Southern Caribbean|Greater Antilles|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2634,Dortyol,Dortyol,TUR,TUR,36.8286,36.1786,36.83333,36.23333,7.66,26.92,19.26,18.01,39.11,Air,WOA,Levantine Sea,Mediterranean Sea,Temperate Northern Atlantic,Southern Anatolia,Black Sea|Northern and Central Red Sea|Tunisian Plateau/Gulf of Sidra|Ionian Sea|Aegean Sea|NA|NA|NA|NA,Central Anatolia|Western Anatolia|Northern Anatolia|Upper Tigris & Euphrates|Orontes|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2635,Henecan,Henecan,HND,HND,13.4,-87.4167,13.4,-87.41667,27.73,29.54,1.81,28.32,3.03,Air,Drake_Model,Chiapas-Nicaragua,Tropical East Pacific,Tropical Eastern Pacific,Chiapas - Fonseca,Mexican Tropical Pacific|Nicoya|Southern Gulf of Mexico|Southwestern Caribbean|Western Caribbean|NA|NA|NA|NA,Papaloapan|Coatzacoalcos|Sierra Madre del Sur|Grijalva - Usumacinta|Estero Real - Tempisque|Mosquitia|Quintana Roo - Motagua|Upper Usumacinta|NA|NA|NA|NA|NA|NA,,,,,,
2636,Ballylongford,Ballylongford,IRL,IRL,52.55,-9.4667,52.55,-9.46667,7.84,17.14,9.3,11.96,19.83,Air,Drake_Model,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2637,Whitby,Whitby,GBR,GBR,54.4883,-0.6156,54.48333,-0.61667,6.15,14.88,8.72,10.07,34.09,WOA,WOA,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
2638,Masbate,Masbate,PHL,PHL,12.2,123.6167,12.2,123.61667,26.77,28.9,2.13,27.92,18.55,Air,Drake_Model,Eastern Philippines,Western Coral Triangle,Central Indo-Pacific,Northern Philippine Islands,Halmahera|Palawan/North Borneo|South China Sea Oceanic Islands|South Kuroshio|Sulawesi Sea/Makassar Strait|West Caroline Islands|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2639,Mamonal,Mamonal,COL,COL,10.3273,-75.5092,10.31667,-75.51667,27.8,28.5,0.7,28.2,23.85,Air,Drake_Model,Southwestern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,Magdalena - Sinu,Chiapas-Nicaragua|Nicoya|Panama Bight|Southern Caribbean|Western Caribbean|Greater Antilles|NA|NA|NA,Maracaibo|South America Caribbean Drainages - Trinidad|North Andean Pacific Slopes - Rio Atrato|Amazonas High Andes|Orinoco High Andes|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2640,Mersa el Hamra Terminal,NA,NA,EGY,30.9833,28.8667,NA,NA,NA,NA,NA,NA,NA,NA,NA,Levantine Sea,Mediterranean Sea,Temperate Northern Atlantic,NA,Black Sea|Northern and Central Red Sea|Tunisian Plateau/Gulf of Sidra|Ionian Sea|Aegean Sea|NA|NA|NA|NA,NA,,,,,,
2641,Porth Dinllaen Bay,NA,NA,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2642,Ballylumford,Ballylumford,GBR,GBR,54.8444,-5.7872,54.83333,-5.78333,6.81,13.54,6.73,10.31,33.69,WOA,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2643,Kilkeel,Kilkeel,GBR,GBR,54.0644,-6.0019,54.06667,-6,7.32,13.48,6.16,10.51,33.98,WOA,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2644,St. George Harbour(GRC),St. George Hbr.(GRC),GRC,GRC,37.95,23.6,37.95,23.6,14.45,24.82,10.36,19.4,38.57,WOA,WOA,Aegean Sea,Mediterranean Sea,Temperate Northern Atlantic,NA,Black Sea|Adriatic Sea|Levantine Sea|Tunisian Plateau/Gulf of Sidra|Ionian Sea|NA|NA|NA|NA,NA,,,,,,
2645,Fuglafjordur,Fuglafjordur,FRO,FRO,62.25,-6.8167,62.25,-6.81667,6.93,10.44,3.52,8.42,35.18,WOA,WOA,Faroe Plateau,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Celtic Seas|South and West Iceland|North Sea|NA|NA|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2646,Holmestrand,Holmestrand,NOR,NOR,59.5333,10.2667,59.53333,10.26667,0.89,18.04,17.15,7.4,27.23,Air,Close_Sal,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
2648,Pyongyang,Pyongyang,PRK,PRK,39,125.75,39,125.75,0.25,26.08,25.83,11.85,0.22,Air,Drake_Model,Yellow Sea,Cold Temperate Northwest Pacific,Temperate Northern Pacific,Eastern Yellow Sea Drainages,East China Sea|Sea of Japan/East Sea|NA|NA|NA|NA|NA|NA|NA,Songhua Jiang|Liao He|Hamgyong - Sanmaek|Southeastern Korean Peninsula|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2649,Ymuiden,Ymuiden,NLD,NLD,52.4608,4.6006,52.45,4.58333,4.49,18.89,14.4,11.23,31.06,WOA,WOA,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
2650,Santa Panagia,Santa Panagia,ITA,ITA,37.1092,15.2583,37.11667,15.26667,14.59,25.4,10.81,19.36,38.08,WOA,WOA,Ionian Sea,Mediterranean Sea,Temperate Northern Atlantic,Italian Peninsula & Islands,Adriatic Sea|Levantine Sea|Tunisian Plateau/Gulf of Sidra|Aegean Sea|Western Mediterranean|NA|NA|NA|NA,Cantabric Coast - Languedoc|Gulf of Venice Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2651,Kolambugan,Kolambugan,PHL,PHL,8.1167,123.8833,8.11667,123.88333,26.7,27.94,1.24,27.33,33.86,Air,WOA,Eastern Philippines,Western Coral Triangle,Central Indo-Pacific,NA,Halmahera|Palawan/North Borneo|South China Sea Oceanic Islands|South Kuroshio|Sulawesi Sea/Makassar Strait|West Caroline Islands|NA|NA|NA,NA,,,,,,
2652,Lagunillas,Lagunillas,VEN,VEN,10.1167,-71.2667,10.11667,-71.26667,27.8,28.7,0.9,28.38,33.63,Air,WOA,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,NA,Eastern Caribbean|Guianan|Southwestern Caribbean|Greater Antilles|NA|NA|NA|NA|NA,NA,,,,,,
2653,Coatzacoalcos,Coatzacoalcos,MEX,MEX,18.1186,-94.3994,18.15,-94.41667,23.58,28.43,4.85,26.61,35.65,Air,WOA,Southern Gulf of Mexico,Tropical Northwestern Atlantic,Tropical Atlantic,Grijalva - Usumacinta,Chiapas-Nicaragua|Floridian|Mexican Tropical Pacific|Northern Gulf of Mexico|Western Caribbean|Greater Antilles|NA|NA|NA,Coatzacoalcos|Yucatan|Chiapas - Fonseca|Quintana Roo - Motagua|Upper Usumacinta|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2654,Reydharfjordur,NA,NA,ISL,65.0333,-14.2167,NA,NA,NA,NA,NA,NA,NA,NA,NA,North and East Iceland,Arctic,Arctic,Iceland - Jan Mayen,East Greenland Shelf|South and West Iceland|NA|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2655,Gullfaks Terminal,Gullfaks Term.,NA,NOR,61.2,2.2,NA,NA,NA,NA,NA,9.61,34.683,,,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
2656,Fateh Terminal,Fateh Term.,NA,ARE,25.5833,54.4167,NA,NA,NA,NA,NA,27.776,39.284,,,Arabian (Persian) Gulf,Somali/Arabian,Western Indo-Pacific,NA,Gulf of Oman|Western Arabian Sea|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
2657,St. Rose,St. Rose,USA,USA,29.9597,-90.3058,29.93333,-90.33333,12.72,28.15,15.43,21.91,0,Air,DistIn,Northern Gulf of Mexico,Warm Temperate Northwest Atlantic,Temperate Northern Atlantic,Lower Mississippi,Carolinian|Floridian|Southern Gulf of Mexico|NA|NA|NA|NA|NA|NA,Upper Mississippi|Ozark Highlands|Ouachita Highlands|Teays - Old Ohio|Tennessee|Mobile Bay|Sabine - Galveston|NA|NA|NA|NA|NA|NA|NA,,,,,,
2658,Vancouver Is.,NA,NA,CAN,49.5,-125.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oregon, Washington, Vancouver Coast and Shelf",Cold Temperate Northeast Pacific,Temperate Northern Pacific,Alaska & Canada Pacific Coastal,North American Pacific Fijordland|Northern California|Puget Trough/Georgia Basin|NA|NA|NA|NA|NA|NA,Columbia Glaciated|Columbia Unglaciated|Alaskan Coastal|Lower Mackenzie|Upper Mackenzie|Upper Yukon|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2659,Bardenfleth,Bardenfleth,DEU,DEU,53.15,8.55,53.15,8.55,3.99,18.93,14.94,10.93,27.33,Air,Close_Sal,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
2660,Nagahama,Nagahama,JPN,JPN,33.6167,132.4833,33.61667,132.48333,6.12,26.62,20.5,16.28,33.45,Air,WOA,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,NA,East China Sea|Northeastern Honshu|Ogasawara Islands|Sea of Japan/East Sea|South Kuroshio|NA|NA|NA|NA,NA,,,,,,
2661,Hvammstangi,Hvammstangi,ISL,ISL,65.4,-20.95,65.4,-20.95,1.18,10.26,9.08,4.11,34.19,Air,WOA,South and West Iceland,Northern European Seas,Temperate Northern Atlantic,NA,East Greenland Shelf|Faroe Plateau|North and East Iceland|NA|NA|NA|NA|NA|NA,NA,,,,,,
2662,Averoy,Averoy,NOR,NOR,63.0569,7.6628,63.11667,7.66667,5.4,13.24,7.85,8.62,32.85,WOA,WOA,Southern Norway,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|North Sea|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,NA,,,,,,
2663,Kyllini,Kyllini,GRC,GRC,37.95,21.15,37.95,21.15,15.39,25.44,10.05,20,38.63,WOA,WOA,Ionian Sea,Mediterranean Sea,Temperate Northern Atlantic,NA,Adriatic Sea|Levantine Sea|Tunisian Plateau/Gulf of Sidra|Aegean Sea|Western Mediterranean|NA|NA|NA|NA,NA,,,,,,
2664,San Antonio(CHL),San Antonio(CHL),CHL,CHL,-33.6,-71.6167,-33.6,-71.61667,12.22,20.38,8.16,16.07,34.17,Air,WOA,Araucanian,Warm Temperate Southeastern Pacific,Temperate South America,South Andean Pacific Slopes,Central Chile|Chiloense|Juan Fernandez and Desventuradas|NA|NA|NA|NA|NA|NA,Atacama|Valdivian Lakes|Mar Chiquita - Salinas Grandes|Patagonia|Cuyan - Desaguadero|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2665,Portavadie,Portavadie,GBR,GBR,55.8667,-5.3,55.86667,-5.3,5.96,15.43,9.47,10.16,33.29,Air,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2666,Gelsenkirchen,Gelsenkirchen,DEU,DEU,51.5286,7.0561,51.5,7.08333,4.64,19.51,14.87,11.67,0,Air,DistIn,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
2667,Pampatar,Pampatar,VEN,VEN,11,-63.7833,11,-63.78333,24.79,28.15,3.36,26.28,36.08,WOA,WOA,Southern Caribbean,Tropical Northwestern Atlantic,Tropical Atlantic,NA,Eastern Caribbean|Guianan|Southwestern Caribbean|Greater Antilles|NA|NA|NA|NA|NA,NA,,,,,,
2668,Portete,NA,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2669,Teluk Intan,Teluk Intan,MYS,MYS,4.0167,101.0167,4.01667,101.01667,26.7,27.51,0.81,27.12,1.46,Air,Drake_Model,Malacca Strait,Sunda Shelf,Central Indo-Pacific,Northern Central Sumatra - Western Malaysia,Andaman and Nicobar Islands|Andaman Sea Coral Coast|Gulf of Thailand|Western Sumatra|Sunda Shelf/Java Sea|NA|NA|NA|NA,Lower & Middle Salween|Malay Peninsula Eastern Slope|Aceh|Southern Central Sumatra|Indian Ocean Slope of Sumatra & Java|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2670,Chepstow,Chepstow,GBR,GBR,51.65,-2.6667,51.65,-2.66667,6.62,18.33,11.71,11.77,12.5,Air,Drake_Model,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2671,Granton,Granton,GBR,GBR,55.9825,-3.2245,55.98333,-3.21667,5.32,16.14,10.82,10.08,25.2,Air,Drake_Model,North Sea,Northern European Seas,Temperate Northern Atlantic,NA,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,NA,,,,,,
2672,Remagen,Remagen,DEU,DEU,50.5667,7.2167,50.56667,7.21667,4.13,19.7,15.57,11.46,0,Air,DistIn,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
2673,Brunei Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2674,Pattani,Pattani,THA,THA,6.95,101.3,6.95,101.3,26.85,28.76,1.91,27.91,31.96,Air,WOA,Gulf of Thailand,Sunda Shelf,Central Indo-Pacific,Malay Peninsula Eastern Slope,Andaman Sea Coral Coast|Gulf of Tonkin|Malacca Strait|Northern Bay of Bengal|Southern Vietnam|Sunda Shelf/Java Sea|NA|NA|NA,Lower & Middle Salween|Mae Khlong|Northern Central Sumatra - Western Malaysia|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2675,Parita Bay,NA,NA,PAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2676,Triple Islands,NA,NA,CAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2677,Miyazu,Miyazu,JPN,JPN,35.5833,135.2167,35.58333,135.21667,4.86,26.85,21.99,15.28,22.13,Air,Drake_Model,Sea of Japan/East Sea,Cold Temperate Northwest Pacific,Temperate Northern Pacific,NA,Central Kuroshio Current|East China Sea|Northeastern Honshu|Oyashio Current|Sea of Okhotsk|Yellow Sea|NA|NA|NA,NA,,,,,,
2678,Mukaishima,Mukaishima,JPN,JPN,34.3833,133.2,34.38333,133.2,5.96,27.66,21.7,16.6,32.69,Air,WOA,Central Kuroshio Current,Warm Temperate Northwest Pacific,Temperate Northern Pacific,Honshu - Shikoku - Kyushu,East China Sea|Northeastern Honshu|Ogasawara Islands|Sea of Japan/East Sea|South Kuroshio|NA|NA|NA|NA,Biwa Ko|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2679,Allardyce Harbour,Allardyce Hbr.,SLB,SLB,-7.8167,158.65,-7.81667,158.65,28.88,30.62,1.74,29.73,34.39,WOA,WOA,Solomon Archipelago,Eastern Coral Triangle,Central Indo-Pacific,NA,Bismarck Sea|Solomon Sea|Vanuatu|NA|NA|NA|NA|NA|NA,NA,,,,,,
2680,Maslenica,Maslenica,HRV,HRV,44.2167,15.55,44.21667,15.53333,3.65,21.23,17.58,12.04,24,Air,Drake_Model,Adriatic Sea,Mediterranean Sea,Temperate Northern Atlantic,Dalmatia,Ionian Sea|Aegean Sea|Western Mediterranean|NA|NA|NA|NA|NA|NA,Dniester - Lower Danube|Gulf of Venice Drainages|Southeast Adriatic Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2681,Nijmegen,Nijmegen,NLD,NLD,51.8333,5.8333,51.83333,5.83333,5.01,19.02,14.01,11.49,0,Air,DistIn,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
2682,Moudi Terminal,NA,NA,CMR,4.1333,8.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gulf of Guinea Central,Gulf of Guinea,Tropical Atlantic,NA,Gulf of Guinea Islands|Gulf of Guinea Upwelling|Gulf of Guinea South|NA|NA|NA|NA|NA|NA,NA,,,,,,
2683,Guayanilla,Guayanilla,PRI,PRI,17.9989,-66.7514,17.98333,-66.75,23.58,26.08,2.5,25.28,35.25,Air,WOA,Greater Antilles,Tropical Northwestern Atlantic,Tropical Atlantic,Puerto Rico - Virgin Islands,Bahamian|Eastern Caribbean|Floridian|Southern Caribbean|Southern Gulf of Mexico|Southwestern Caribbean|Western Caribbean|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2684,Upernavik,Upernavik,GRL,GRL,72.7833,-56.15,72.78333,-56.15,-1.66,4.99,6.65,1.12,32.87,WOA,WOA,West Greenland Shelf,Arctic,Arctic,NA,Baffin Bay - Davis Strait|East Greenland Shelf|North Greenland|NA|NA|NA|NA|NA|NA,NA,,,,,,
2685,Augusta,Augusta,ITA,ITA,37.2259,15.1889,37.2,15.21667,13.12,26.85,13.73,19.72,38.06,Air,WOA,Ionian Sea,Mediterranean Sea,Temperate Northern Atlantic,Italian Peninsula & Islands,Adriatic Sea|Levantine Sea|Tunisian Plateau/Gulf of Sidra|Aegean Sea|Western Mediterranean|NA|NA|NA|NA,Cantabric Coast - Languedoc|Gulf of Venice Drainages|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2686,General San Martin,General San Martin,PER,PER,-13.8333,-76.2667,-13.83333,-76.26667,18.14,24.53,6.39,21.01,35.05,Air,WOA,Humboldtian,Warm Temperate Southeastern Pacific,Temperate South America,NA,Central Chile|Central Peru|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
2687,Clinton,Clinton,USA,USA,41.2667,-72.5333,41.26667,-72.53333,2.05,23.76,21.71,12.04,30.56,Air,WOA,Virginian,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,Northeast US & Southeast Canada Atlantic Drainages,Carolinian|Gulf of Maine/Bay of Fundy|Gulf of St. Lawrence - Eastern Scotian Shelf|NA|NA|NA|NA|NA|NA,Chesapeake Bay|Laurentian Great Lakes|Scotia - Fundy|St.Lawrence|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2688,Beirut,Beirut,LBN,LBN,33.9,35.5167,33.9,35.51667,12.92,26.39,13.47,20.19,39.02,Air,WOA,Levantine Sea,Mediterranean Sea,Temperate Northern Atlantic,Coastal Levant,Black Sea|Northern and Central Red Sea|Tunisian Plateau/Gulf of Sidra|Ionian Sea|Aegean Sea|NA|NA|NA|NA,Orontes|Jordan River|Sinai|Arabian Interior|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2689,Bonifacio,Bonifacio,FRA,FRA,41.3833,9.1,41.38333,9.1,11.72,24.53,12.81,17.59,38.12,Air,WOA,Western Mediterranean,Mediterranean Sea,Temperate Northern Atlantic,NA,Adriatic Sea|Tunisian Plateau/Gulf of Sidra|Ionian Sea|Alboran Sea|NA|NA|NA|NA|NA,NA,,,,,,
2690,Garrucha,Garrucha,ESP,ESP,37.1667,-1.8333,37.16667,-1.83333,14.25,25.11,10.86,18.84,37.27,WOA,WOA,Alboran Sea,Mediterranean Sea,Temperate Northern Atlantic,Southern Iberia,Saharan Upwelling|South European Atlantic Shelf|Western Mediterranean|NA|NA|NA|NA|NA|NA,Western Iberia|Eastern Iberia|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2691,Samarai,Samarai,PNG,PNG,-10.6167,150.6667,-10.61667,150.66667,25.52,29.33,3.81,27.66,34.91,WOA,WOA,Solomon Sea,Eastern Coral Triangle,Central Indo-Pacific,NA,Bismarck Sea|Gulf of Papua|Solomon Archipelago|Southeast Papua New Guinea|NA|NA|NA|NA|NA,NA,,,,,,
2692,Coronel,Coronel,CHL,CHL,-37.0333,-73.1667,-37.03333,-73.16667,10.94,18.93,7.99,14.93,33.57,Air,WOA,Araucanian,Warm Temperate Southeastern Pacific,Temperate South America,NA,Central Chile|Chiloense|Juan Fernandez and Desventuradas|NA|NA|NA|NA|NA|NA,NA,,,,,,
2693,Schagen,Schagen,NLD,NLD,52.7833,4.7852,52.78333,4.78528,4.38,18.45,14.07,10.99,25.26,WOA,Drake_Model,North Sea,Northern European Seas,Temperate Northern Atlantic,Central & Western Europe,Baltic Sea|Celtic Seas|Faroe Plateau|South European Atlantic Shelf|Southern Norway|NA|NA|NA|NA,Northern British Isles|Cantabric Coast - Languedoc|Upper Danube|Dniester - Lower Danube|Gulf of Venice Drainages|Dnieper - South Bug|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA,,,,,,
2694,Deal Roads,NA,NA,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
2695,Tobermory(GBR),Tobermory(GBR),GBR,GBR,56.6167,-6.05,56.61667,-6.05,6.04,14.93,8.89,10,34.06,Air,WOA,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,Northern British Isles,Faroe Plateau|South European Atlantic Shelf|North Sea|NA|NA|NA|NA|NA|NA,Central & Western Europe|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2696,Duke Point,NA,NA,CAN,49.1667,-123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puget Trough/Georgia Basin,Cold Temperate Northeast Pacific,Temperate Northern Pacific,NA,"North American Pacific Fijordland|Oregon, Washington, Vancouver Coast and Shelf|NA|NA|NA|NA|NA|NA|NA",NA,,,,,,
2697,Svartback,Svartback,FIN,FIN,60.2833,25.5333,60.28333,25.53333,0.25,18.53,18.28,6.76,5.31,Air,WOA,Baltic Sea,Northern European Seas,Temperate Northern Atlantic,Northern Baltic Drainages,North Sea|Southern Norway|Northern Norway and Finnmark|NA|NA|NA|NA|NA|NA,Barents Sea Drainages|Lake Onega - Lake Ladoga|Norwegian Sea Drainages|Southern Baltic Lowlands|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2698,Mackay,Mackay,AUS,AUS,-21.1078,149.2175,-21.10778,149.2175,18.93,26.85,7.92,23.58,35.46,Air,WOA,Central and Southern Great Barrier Reef,Northeast Australian Shelf,Central Indo-Pacific,Eastern Coastal Australia,Arnhem Coast to Gulf of Carpenteria|Coral Sea|Tweed-Moreton|Torres Strait Northern Great Barrier Reef|NA|NA|NA|NA|NA,Arafura - Carpentaria|Bass Strait Drainages|Murray - Darling|Lake Eyre Basin|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,,,,,,
2699,Yarmouth(CAN),Yarmouth(CAN),CAN,CAN,43.8333,-66.1167,43.83333,-66.11667,1.7,18.14,16.44,8.88,27.38,Air,Drake_Model,Scotian Shelf,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,NA,Gulf of Maine/Bay of Fundy|Gulf of St. Lawrence - Eastern Scotian Shelf|NA|NA|NA|NA|NA|NA|NA,NA,,,,,,
